NUMESINI,CODNATSI,NUMPOLICE,DATESURV,ASSURESP,LIEUSINI,CODEINTE,INTERMEDIAIRE,ASSURE,IMMATRICULATION_ASSURE,DATE_OUVERTURE,DATE_CLOTURE,USER_CLOTURE,CODEGARA,MNT_RESERVE,MNT_REGLEMENT,MOTIF
143134,bit,ask,2021-10-30,Trevor Salazar Jr.,memory,4913,Meyer Ltd,Pamela Young,QXL-773,2021-03-01,2024-09-02,degree,1739,8614,14432,each
476256,table,task,2022-06-20,Daniel Foster,pay,8738,"Harmon, Stevenson and Taylor",Justin Hicks,6U 4D3GMK,2023-11-18,2022-07-27,guess,7729,14810,66068,up
183476,serious,talk,2022-04-29,David Cantu,feeling,2211,Strong Inc,Jennifer Liu,FZC C99,2024-05-08,2021-04-04,mention,7083,44593,55762,research
498774,half,none,2023-05-11,Justin Wells,many,1402,Mcdaniel-Sharp,Jasmine Curtis,7PJ13,2024-01-28,2025-05-05,deal,4499,88763,82500,begin
103433,approach,miss,2023-10-26,Dylan Ruiz,third,1778,Mathews Group,Kevin Deleon,9-31049,2021-03-15,2024-10-19,investment,3402,17256,85391,strategy
274878,specific,water,2021-10-09,Cody Burgess,he,1356,Brown-Hernandez,Gregory Harris,608 9FI,2021-08-29,2023-12-28,reduce,5724,25187,6093,deep
338434,forward,brother,2023-01-17,Hannah Carter,building,9346,Simmons-Simpson,Margaret Brown,509 JKA,2021-05-31,2022-09-13,ever,1317,72272,79513,wall
210553,along,three,2024-10-13,Carlos Morris,suddenly,4735,Harrell-Parker,Jonathan Hayes,LPC-5876,2024-12-31,2024-01-05,past,4515,82168,73033,two
580390,reason,official,2023-07-18,Michael Hicks,nothing,5892,Hawkins and Sons,Dr. Erin Ellis,2TE68,2021-11-07,2022-01-31,executive,9409,54348,5625,relate
414672,employee,happen,2022-10-13,James Miller,someone,7664,Rodriguez-Gomez,Kelsey Mack,300LA,2024-06-03,2022-10-07,method,6148,82381,13154,bag
162310,mention,source,2023-04-09,Sheila Walker,involve,3436,Allen-Mckee,Devin Roman,1IE6596,2021-02-28,2023-05-09,Mr,7381,15493,14151,a
228516,brother,sit,2020-06-23,Meghan Manning,unit,4070,Ortega-Gonzalez,Nancy Jackson,5NN9414,2022-03-20,2021-03-21,impact,8797,63085,91793,size
853137,assume,type,2024-09-10,Gary Rios,draw,4309,"Ayers, Thomas and Wilson",Debra Rodriguez,C75 5CY,2024-07-03,2020-09-07,that,8883,97165,40177,beyond
346834,human,national,2021-04-28,Joseph Paul,energy,7121,Valenzuela PLC,Marilyn Gallegos,85TA8,2020-01-28,2024-07-23,we,5209,82015,98526,game
372928,agent,third,2023-06-17,Sonya Bell,city,4764,Rodriguez-Richmond,Karen Ortiz,678 CMA,2024-10-17,2022-12-20,director,3562,59398,56195,party
208721,thought,pressure,2023-03-03,Kimberly Gray,short,3455,Sparks and Sons,Matthew Brock,BUU-738,2022-04-02,2021-01-21,marriage,7238,31550,13631,kitchen
721746,his,who,2021-05-04,Daniel Hartman,worry,2489,"Thompson, Neal and Miles",Eileen Stark,166C0,2020-06-21,2022-03-12,effect,2455,37690,60770,car
157048,difference,again,2023-09-22,Mitchell Ware,course,6129,King Inc,Thomas Richards,581T6,2023-08-14,2022-09-27,line,4259,55248,56616,alone
995659,hour,purpose,2024-08-13,Diane George,as,4795,Avery PLC,Robert King,RYO B46,2024-10-28,2020-08-12,task,6516,22961,5282,idea
994610,require,discussion,2023-02-02,Louis Wells,field,7975,Wilson-Watkins,Stephen Yates,YJS O86,2020-08-12,2023-05-18,face,2008,49524,9040,look
992916,drug,race,2022-12-09,Kevin Austin,list,9903,Alexander-White,Lauren Rodriguez,CVW-007,2020-05-28,2021-05-28,see,8127,4532,84747,shake
209573,challenge,high,2022-10-28,Steven Phelps,hotel,5178,Harrington LLC,Noah Ramirez,9WIE 80,2024-12-15,2021-11-03,see,6802,48069,62277,rest
