CODEINTE,INTERMADIAIRE,VILLE_INTERMEDIAIRE,SINISTRE,SIN_GS,ASSURE,VILLE_ASSURE,IMMATRICULATION_ASSURE,MARQUE_VEHICULE,TYPE_VEHICULE,POLICE,DATE_EFFET_POLICE,DATE_FIN_POLICE,USAGE,PRODUIT,CODNATSI,NATURE_SIN,DATE_SURVENANCE,DATEDECL,DATRECCO,DATE_CREATION_OUVERTURE,DATE_VALIDATION_OUVERTURE,USER_CREATION_OUVERTURE,USER_VALIDATION_OUVERTURE,DATE_CLOTURE,ASSURESP,TAUX_RESP_ASSURE,FLAG__HP,CANAL,LIEUSINI,VILLE_SINISTRE,PAYS,IMMATRICULATION_ASSURE_1,IDECONBA,LIB_BAREME,FAIT_GENERATEUR,CAUSE_CIRCONSTANCE,TYPE_RECOURS,COMPAGNIE_ADVERSE,NBR_VICTIME,GARANTIES,CODEGARA,MNT_REGLEMENT_P,MNT_REGLEMENT_H,ETAPE,FLAGCICA,TELE,ATTESTATION,CIN,TYPE_SINISTRE_DOUTEUX,DECISION_FINAL_INVESTIGATION,MONTANT_RESERVE_DEBUT_P,MONTANT_RESERVE_DEBUT_H,MONTANT_RESERVE_H,MONTANT_RESERVE_P,USERGEST,LIBE_DERNIER_ACTE,DATE_DERNIER_ACTE,MODE_PAIEMENT_SOUHAITE,FRANCHISE,DOSSCONT,MOTIF_CLOTURE
6628,leg,Bauerchester,might,prevent,George Conway,Katherineborough,EUR 523,stock,5,property,2021-04-27,2023-08-11,free,anything,offer,strong,2020-06-26,2024-04-02,against,2021-02-08,2022-02-26,their,catch,2020-03-07,Susan Hernandez,Todd Mcmillan,easy,morning,property,Morganburgh,thing,341 6LQ,security,new,computer,paper,term,financial,hear,each,8706,68619,50814,month,quality,others,decision,wish,reality,pattern,factor,usually,computer,listen,police,may,2024-07-22,win,my,individual,special
3554,example,Emmastad,me,charge,Kimberly Brown,New Roberthaven,FWO 184,simply,1,performance,2021-03-20,2022-04-17,discuss,hope,type,by,2024-09-02,2025-02-03,task,2021-08-06,2024-01-04,head,site,2021-05-08,Gregory Esparza,Dana Ortiz,practice,heavy,relate,Lake Ashleyshire,treat,779OT,television,human,food,fast,police,certain,successful,interview,2812,25323,6686,as,together,because,seven,well,low,significant,general,eat,particular,action,picture,beat,2020-03-09,perform,machine,vote,music
3034,draw,Priceville,suddenly,watch,Christina Burgess,Mariamouth,8CX9875,western,2,indicate,2021-01-29,2023-06-26,notice,condition,you,establish,2021-03-07,2021-12-15,ability,2020-06-12,2023-01-16,go,better,2023-12-15,Tracy Jones,Kyle Lane,card,character,citizen,Jamiestad,major,M22-54V,trial,hit,central,teacher,prepare,condition,face,small,9531,36678,13539,official,senior,say,spring,painting,end,blood,suddenly,poor,growth,idea,provide,a,2021-04-21,charge,either,chance,work
8957,player,Meganhaven,relate,cost,Cody Lee,South Toniview,55I X70,thus,5,successful,2024-07-16,2020-04-09,page,lose,treat,oil,2022-12-23,2020-07-10,often,2023-06-11,2024-05-28,into,upon,2024-05-27,Alison Johnson,Tracy Drake,brother,bit,partner,Brooksville,authority,MYL9472,together,current,apply,huge,environment,just,question,wear,3422,32532,81860,see,feeling,product,natural,individual,finish,huge,body,add,question,cause,protect,door,2024-02-29,father,simple,eat,year
3913,stand,Lake Josephchester,recognize,focus,Douglas Greene,Schultzton,5FBO668,campaign,3,can,2021-01-23,2024-06-26,quickly,condition,care,would,2022-07-07,2020-07-24,perhaps,2022-05-28,2023-01-16,oil,national,2023-05-17,Calvin White,Charles Rodriguez,wrong,already,off,North Anthony,arrive,RPR-283,entire,why,fill,attention,Republican,sometimes,mother,various,1951,49669,24532,assume,likely,ground,single,your,push,early,radio,day,interest,entire,option,able,2020-08-27,enter,important,protect,west
7139,real,North Christopher,other,appear,Katherine Joseph,Jessicaview,243 VJO,government,2,from,2025-03-20,2020-11-26,seat,college,itself,thousand,2024-02-07,2024-04-22,indeed,2023-10-27,2023-09-08,medical,very,2023-06-09,Nathaniel Barrett,Jorge Taylor,movement,money,mention,Victoriaburgh,oil,416230,yes,case,five,follow,former,commercial,deep,training,9378,37638,1372,movie,at,race,act,be,maybe,voice,process,hospital,kitchen,voice,white,do,2022-04-03,eight,line,realize,life
7529,direction,Taylorhaven,available,once,Eric Salazar,North Sydneymouth,IHW-4849,different,5,indicate,2023-02-01,2023-05-22,talk,conference,write,least,2020-01-13,2021-08-05,owner,2022-08-16,2024-04-05,doctor,then,2024-05-09,James Case,Kimberly Chapman,not,stay,technology,South Kimberlyfurt,change,BYE-9336,born,side,like,current,one,management,after,ask,5660,2306,31652,help,special,set,stuff,ok,bill,chair,nearly,scene,much,and,born,teach,2024-06-05,long,mother,language,practice
3017,analysis,Pattersonshire,similar,physical,Marvin Arellano MD,South Christopher,7I 8068Q,major,4,sport,2022-05-25,2023-07-11,task,send,identify,threat,2024-08-24,2022-10-08,offer,2020-11-05,2020-06-21,contain,whatever,2024-10-05,Andrea Parker,Bruce Hudson,enough,concern,policy,Estestown,green,784 ZXE,fill,you,wait,should,star,southern,quite,drop,3025,92443,3932,movie,attack,people,employee,child,current,eight,forward,great,pick,any,build,rock,2022-03-08,recent,population,reflect,far
6057,threat,Emilyborough,good,involve,Dr. Jamie Davenport,North Dylanbury,3L UX263,some,1,beat,2023-12-16,2020-08-09,speak,building,eye,woman,2022-01-15,2020-04-03,magazine,2025-03-13,2021-11-01,kind,manage,2025-05-03,Eric Collins,Troy Miller,choose,he,once,Adamville,to,95G H08,cut,kid,cultural,though,try,miss,commercial,this,1933,39377,12094,left,develop,area,avoid,car,these,above,purpose,memory,increase,central,share,beyond,2023-05-06,some,quality,under,now
7236,position,Dixonstad,animal,when,Angel Ramirez,North Melissachester,532-ECT,media,4,rule,2021-01-13,2021-08-05,during,explain,mouth,soon,2020-05-24,2021-04-29,ten,2021-01-02,2022-11-05,site,owner,2021-07-25,Dillon Moore,Steven Mullen,season,citizen,receive,Harperside,need,008 NGC,civil,thousand,option,strong,development,quality,nor,material,6721,93175,80036,herself,thought,artist,that,direction,western,end,beat,current,total,thus,them,operation,2022-12-02,standard,fast,guess,various
