NUMESINI,CODNATSI,NUMPOLICE,DATESURV,ASSURESP,LIEUSINI,CODEINTE,INTERMEDIAIRE,ASSURE,IMMATRICULATION_ASSURE,DATE_OUVERTURE,DATE_CLOTURE,DATE_REOUVERTURE,USER_REOUVERTURE,CODEGARA,MNT_RESERVE,MNT_REGLEMENT,MOTIF
880200,idea,center,2024-10-18,Jason Cowan,follow,4125,Kirk-Kennedy,Stephanie Medina,765-989,2020-02-16,2023-02-22,2020-09-30,write,7169,20772,49231,morning
288193,make,six,2020-04-09,Michael Figueroa,it,7676,"Smith, Johnson and Ramirez",Melissa Bradley,GKS 747,2021-06-11,2020-07-01,2024-06-25,learn,8452,43693,32109,tend
402324,receive,low,2024-09-05,Stephanie Patel,poor,6026,"Hanson, Harris and Pineda",Ashley Wilson,IMK 686,2024-07-12,2021-02-28,2021-09-17,charge,7359,97479,29758,policy
361279,middle,guess,2025-01-18,Shelby Arnold,compare,8606,"Butler, Mckee and Lambert",Michael Williams,SLV 134,2022-04-08,2020-01-31,2020-03-25,medical,1127,77401,34686,ago
126101,top,line,2021-06-28,Amy Wood,those,1091,"Tucker, Horn and Garcia",April Garcia,KXE 877,2021-05-14,2020-10-18,2022-11-22,loss,2305,26630,41099,official
952177,follow,debate,2021-09-09,Jordan Adams,turn,8582,Tucker and Sons,Brian Mcpherson,608 ISF,2020-02-01,2022-06-16,2021-04-15,world,3601,69681,28311,strong
817577,movement,must,2023-07-30,Alex Bentley Jr.,box,9176,Booker Ltd,Joseph Warner,244-DZU,2022-09-15,2023-10-18,2022-04-25,high,3397,50263,86436,thought
395673,these,street,2020-08-08,Benjamin Bailey,public,4613,Lee-Blevins,Robin Payne,JP7 0046,2024-08-31,2023-12-16,2024-06-11,manager,2715,68318,42822,money
911822,between,city,2023-12-15,Caitlin Wolfe,control,2186,"Carroll, Campbell and Silva",Jennifer Price,SH-7306,2024-04-04,2021-02-18,2020-11-11,kitchen,9697,77439,48698,say
254331,fly,pick,2022-06-25,Jasmine Lopez,war,1785,Warner-Hatfield,Alison Flores,IRB-897,2020-08-09,2022-06-03,2022-08-04,summer,1642,83761,73750,age
568381,onto,into,2020-10-03,Brett Taylor,know,4779,"Ferguson, Turner and Ballard",Carolyn French,WKW 994,2024-12-29,2024-05-18,2024-01-21,evidence,4746,60933,2419,rock
891900,since,choice,2022-06-29,Robert Davis,trade,3749,Wade-Crane,Samuel Ware,KVZ8505,2020-10-22,2024-09-02,2023-05-14,song,6252,89857,8603,weight
597938,around,store,2020-04-30,Laura Perry,chance,6022,"Townsend, Trujillo and Collins",Ariana Cohen,212-XAY,2024-02-26,2022-05-08,2023-04-21,behind,2825,75655,74316,which
931084,attack,pay,2024-12-26,Martin May,create,8279,Reynolds-Charles,Richard Cox,0-71844V,2022-06-01,2021-11-12,2023-11-17,step,2542,8745,67369,check
463162,great,kitchen,2023-04-16,Christopher Hardin,while,7149,King PLC,Daniel Butler,EPS 916,2020-01-04,2022-09-12,2025-03-28,cost,1808,76103,41124,possible
740972,person,tend,2025-01-15,Juan Wong,since,6350,Gibson-Cook,Duane Pollard,URH0301,2024-12-06,2021-06-07,2022-09-24,join,1375,88556,53294,product
302671,image,time,2024-03-01,Kimberly Oliver,fine,3277,Butler PLC,Pamela Carr,MRM 836,2022-07-17,2022-09-15,2021-06-07,writer,4042,9900,61986,stay
857357,themselves,seat,2024-01-23,Erica Bradley,game,8115,"Maldonado, Gonzalez and Guerra",Dr. Melissa Morris,1NE7567,2023-11-16,2022-04-24,2022-08-14,toward,1558,32643,22601,system
757564,security,option,2023-01-17,Cynthia Bowman,father,7394,Hardy-Garcia,Hector Schaefer,2-0414C,2025-01-18,2021-12-04,2021-06-24,professor,2097,84579,69829,front
647209,coach,no,2024-01-22,Daniel Young,fight,1665,"Newman, Jackson and Floyd",Matthew Rosario,Q54 6WZ,2024-01-31,2023-12-04,2022-01-25,stock,4908,30775,91745,apply
915267,almost,follow,2020-08-05,Kevin Russell,adult,3619,"Donaldson, Travis and Young",Leonard Smith,KTK M39,2022-10-13,2022-10-26,2023-05-07,western,1582,60393,87469,less
605966,soon,outside,2020-01-07,Tina Fisher,interview,3147,Marquez PLC,Shannon Cross,715-INT,2020-01-10,2023-04-20,2020-10-16,less,7908,4787,76557,challenge
393987,training,sport,2023-12-01,Stephen Aguirre,art,3180,Moran-White,Kenneth Parker,N19-54B,2020-08-05,2021-10-20,2020-05-30,can,7893,80470,51145,challenge
